15:08:28.340 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.maxDynamicLights: SOME
15:08:28.340 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.enableModelCaching: false
15:08:28.340 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value minimap.hideMinimap: false
15:08:28.340 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.trayIcon: true
15:08:28.340 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value gpu.colorBlindMode: NONE
15:08:28.340 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value gpu.unlockFps: false
15:08:28.340 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.expandShadowDraw: false
15:08:28.340 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.overrideSky: false
15:08:28.340 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value gpu.fpsTarget: 60
15:08:28.340 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.underwaterCaustics: true
15:08:28.340 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value textrecolor.opaqueClanInfoHighlight: -65536
15:08:28.341 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value entityhider.hideNPCs: false
15:08:28.341 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.enableModelBatching: false
15:08:28.341 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.hdInfernalTexture: true
15:08:28.341 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value textrecolor.transparentGameMessageHighlight: -1109984
15:08:28.342 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.drawDistance: 50
15:08:28.342 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value fpscontrol.limitFpsUnfocused: false
15:08:28.342 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.anisotropicFilteringLevel: 16
15:08:28.342 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.blockExtraMouseButtons: true
15:08:28.342 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value entityhider.hideIgnores: false
15:08:28.342 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.objectTextures: true
15:08:28.342 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.groundBlending: true
15:08:28.342 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.overlayBackgroundColor: -1673118414
15:08:28.342 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value fpscontrol.maxFps: 50
15:08:28.342 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.tooltipPosition: UNDER_CURSOR
15:08:28.342 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.useWikiItemPrices: true
15:08:28.342 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value gpu.smoothBanding: false
15:08:28.342 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value entityhider.hideProjectiles: false
15:08:28.342 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.fpsplugin: false
15:08:28.342 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value gpu.useComputeShaders: true
15:08:28.342 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value stretchedmode.keepAspectRatio: false
15:08:28.343 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value textrecolor.transparentPublicChatHighlight: -1
15:08:28.343 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.uiEnableCustomChrome: true
15:08:28.343 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.infoBoxVertical: false
15:08:28.343 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value entityhider.hideLocalPlayer2D: false
15:08:28.343 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.vsyncMode: ADAPTIVE
15:08:28.343 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.hdminimapplugin: false
15:08:28.343 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.notificationFlashColor: 1191116800
15:08:28.343 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.gameAlwaysOnTop: false
15:08:28.343 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value gpu.vsyncMode: ADAPTIVE
15:08:28.344 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value textrecolor.opaqueClanMessageHighlight: -16777216
15:08:28.344 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value textrecolor.transparentPrivateMessageSentHighlight: -1
15:08:28.345 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value minimap.zoom: true
